stream,year,date,doy,rm_upper,rm_lower,rm_length,redds,survey_type,flow,method
Duckabush River,2007,2007-02-26,57,2.6,2.3,0.3,0,INDX,Medium,FOOT
Duckabush River,2007,2007-03-06,65,1.1,0,1.1,0,SUPP,Medium,FOOT
Duckabush River,2007,2007-03-06,65,2.3,1.1,1.2,0,INDX,Medium,FOOT
Duckabush River,2007,2007-03-06,65,2.6,2.3,0.3,0,INDX,Medium,FOOT
Dewatto River,2007,2007-03-05,64,3,1.8,1.2,0,INDX,Medium,FOOT
Dewatto River,2007,2007-03-08,67,3.2,3,0.2,0,SUPP,Medium,FOOT
"Skokomish River, SF",2007,2007-06-01,152,0.8,0,0.8,0,INDX,Low,RAFT
Dewatto River,2007,2007-04-24,114,3,1.8,1.2,0,INDX,Low,FOOT
Dewatto River,2007,2007-04-24,114,1.8,0.3,1.5,0,INDX,Low,FOOT
Dewatto River,2007,2007-04-24,114,0.3,0,0.3,0,SUPP,Low,FOOT
Little Quilcene River,2007,2007-04-16,106,1.81,1.8,0.01,0,SPOT,High,FOOT
Duckabush River,2007,2007-04-12,102,1.1,0,1.1,0,SUPP,Medium,FOOT
"Skokomish River, MS",2007,2007-06-06,157,6.3,5.3,1,0,INDX,Low,RAFT
"Skokomish River, MS",2007,2007-06-06,157,9,8,1,0,INDX,Low,RAFT
Tahuya River,2007,2007-05-07,127,1,0.6,0.4,0,INDX,Low,FOOT
Dewatto River,2007,2007-05-02,122,1.8,0.3,1.5,0,INDX,Low,FOOT
Dewatto River,2007,2007-05-02,122,3,1.8,1.2,0,INDX,Low,FOOT
Tahuya River,2007,2007-03-08,67,2.6,1,1.6,0,INDX,Medium,FOOT
Duckabush River,2007,2007-03-20,79,0.01,0,0.01,0,SPOT,Medium,FOOT
Union River,2007,2007-03-20,79,3,1.7,1.3,0,INDX,Medium,FOOT
Union River,2007,2007-03-20,79,4,3,1,0,INDX,Medium,FOOT
"Skokomish River, MS",2007,2007-03-20,79,5.31,5.3,0.01,0,SPOT,High,FOOT
Tahuya River,2007,2007-03-19,78,1,0.6,0.4,0,INDX,Low,FOOT
Dewatto River,2007,2007-03-19,78,1.8,0,1.8,0,INDX,Low,FOOT
Tahuya River,2007,2007-05-21,141,7.5,5,2.5,0,INDX,Low,FOOT
"Skokomish River, SF",2007,2007-05-23,143,0.8,0,0.8,0,INDX,Low,RAFT
Tahuya River,2007,2007-05-21,141,1,0.6,0.4,0,INDX,Low,FOOT
Tahuya River,2007,2007-05-21,141,11,10,1,0,INDX,Low,FOOT
Duckabush River,2007,2007-05-22,142,2.3,1.1,1.2,0,INDX,Medium,FOOT
"Skokomish River, MS",2007,2007-05-23,143,9,8,1,0,INDX,Low,RAFT
Tahuya River,2007,2007-05-21,141,10,7.5,2.5,0,INDX,Low,FOOT
Tahuya River,2007,2007-05-21,141,5,2.6,2.4,0,INDX,Low,FOOT
"Skokomish River, MS",2007,2007-05-23,143,6.3,5.3,1,0,INDX,Low,RAFT
Duckabush River,2007,2007-05-22,142,2.6,2.3,0.3,0,INDX,Medium,FOOT
Little Quilcene River,2007,2007-05-11,131,0.8,0,0.8,0,INDX,Low,FOOT
Little Quilcene River,2007,2007-05-11,131,4.3,3,1.3,0,INDX,Low,FOOT
Dewatto River,2007,2007-03-15,74,1.8,0.3,1.5,0,INDX,Medium,FOOT
Dewatto River,2007,2007-03-15,74,3,1.8,1.2,0,INDX,Medium,FOOT
Tahuya River,2007,2007-03-16,75,11,10,1,0,INDX,Medium,FOOT
Union River,2007,2007-03-28,87,4,3,1,0,INDX,Low,FOOT
Union River,2007,2007-03-28,87,3,1.7,1.3,0,INDX,Low,FOOT
Duckabush River,2007,2007-04-02,92,2.6,2.3,0.3,0,INDX,Medium,FOOT
Tahuya River,2007,2007-04-02,92,5,2.6,2.4,0,INDX,Low,FOOT
Tahuya River,2007,2007-04-02,92,11,10,1,0,INDX,Low,FOOT
"Skokomish River, MS",2007,2007-04-03,93,6.3,5.3,1,0,INDX,Medium,RAFT
"Skokomish River, SF",2007,2007-04-03,93,0.8,0,0.8,0,INDX,Medium,RAFT
Union River,2007,2007-04-11,101,3,1.7,1.3,0,INDX,Low,FOOT
Tahuya River,2007,2007-04-17,107,1,0.6,0.4,0,INDX,Low,FOOT
Duckabush River,2007,2007-04-19,109,2.3,1.1,1.2,0,INDX,Medium,FOOT
Duckabush River,2007,2007-04-19,109,2.6,2.3,0.3,0,INDX,Medium,FOOT
Little Quilcene River,2007,2007-04-23,113,1.8,0.8,1,0,INDX,Medium,FOOT
Little Quilcene River,2007,2007-04-23,113,3,1.8,1.2,0,INDX,Medium,FOOT
"Skokomish River, MS",2007,2007-04-20,110,9,8,1,0,INDX,Medium,RAFT
Little Quilcene River,2007,2007-04-06,96,0.8,0,0.8,0,INDX,Medium,FOOT
"Skokomish River, MS",2007,2007-04-13,103,6.3,5.3,1,0,INDX,Medium,RAFT
Union River,2007,2007-04-11,101,4,3,1,0,INDX,Low,FOOT
Dewatto River,2007,2007-04-16,106,3.2,3,0.2,0,SUPP,Low,FOOT
Dewatto River,2007,2007-04-16,106,3,1.8,1.2,0,INDX,Low,FOOT
Dewatto River,2007,2007-04-16,106,0.3,0,0.3,0,SUPP,Low,FOOT
Tahuya River,2007,2007-04-17,107,11,10,1,0,INDX,Low,FOOT
"Skokomish River, MS",2007,2007-04-20,110,6.3,5.3,1,0,INDX,Medium,RAFT
Tahuya River,2007,2007-04-25,115,1,0.6,0.4,0,INDX,Low,FOOT
Duckabush River,2007,2007-04-26,116,2.3,1.1,1.2,0,INDX,Medium,FOOT
Tahuya River,2007,2007-04-25,115,5,2.6,2.4,0,INDX,Low,FOOT
Duckabush River,2007,2007-04-26,116,2.6,2.3,0.3,0,INDX,Medium,FOOT
Duckabush River,2007,2007-04-26,116,1.1,0,1.1,0,SUPP,Medium,FOOT
"Skokomish River, MS",2007,2007-05-01,121,6.3,5.3,1,0,INDX,Medium,RAFT
Tahuya River,2007,2007-04-30,120,7.5,5,2.5,0,INDX,Low,FOOT
Tahuya River,2007,2007-05-07,127,5,2.6,2.4,0,INDX,Low,FOOT
"Skokomish River, SF",2007,2007-05-10,130,0.8,0,0.8,0,INDX,Low,RAFT
"Skokomish River, MS",2007,2007-05-16,136,9,8,1,0,INDX,Low,RAFT
"Skokomish River, SF",2007,2007-05-16,136,0.8,0,0.8,0,INDX,Low,RAFT
Union River,2007,2007-05-21,141,1.7,0.3,1.4,0,INDX,Low,FOOT
Union River,2007,2007-05-21,141,3,1.7,1.3,0,INDX,Low,FOOT
Union River,2007,2007-05-21,141,4,3,1,0,INDX,Low,FOOT
Little Quilcene River,2007,2007-05-11,131,1.8,0.8,1,0,INDX,Low,FOOT
Little Quilcene River,2007,2007-05-11,131,3,1.8,1.2,0,INDX,Low,FOOT
Snow Creek,2007,2007-05-11,131,0.8,0,0.8,0,INDX,Low,FOOT
Little Quilcene River,2007,2007-05-30,150,4.5,0,4.5,0,INDX,Low,FOOT
Union River,2007,2007-04-18,108,3,1.7,1.3,0,INDX,Low,FOOT
Tahuya River,2007,2007-04-30,120,5,2.6,2.4,0,INDX,Low,FOOT
"Skokomish River, SF",2007,2007-05-01,121,0.8,0,0.8,0,INDX,Medium,RAFT
Duckabush River,2007,2007-05-02,122,2.3,1.1,1.2,0,INDX,Medium,FOOT
Duckabush River,2007,2007-05-02,122,2.6,2.3,0.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2007,2007-06-14,165,12.7,9,3.7,0,INDX,Medium,RAFT
"Skokomish River, NF",2007,2007-05-18,138,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2007,2007-06-01,152,14.2,13.3,0.9,0,INDX,Medium,FOOT
"Skokomish River, NF",2007,2007-06-01,152,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, MS",2007,2007-06-27,178,8.5,2.1,6.4,0,INDX,Medium,RAFT
"Skokomish River, MS",2007,2007-06-01,152,9,8,1,0,INDX,Low,RAFT
Dewatto River,2007,2007-05-10,130,3.3,3,0.3,0,SUPP,Low,FOOT
Dewatto River,2007,2007-05-10,130,3,1.8,1.2,0,INDX,Low,FOOT
Dewatto River,2007,2007-05-10,130,1.8,0,1.8,0,INDX,Low,FOOT
Dewatto River,2007,2007-04-03,93,3.3,3,0.3,0,SUPP,Medium,FOOT
Dewatto River,2007,2007-04-03,93,3,1.8,1.2,0,INDX,Medium,FOOT
Dewatto River,2007,2007-04-03,93,1.8,0,1.8,0,INDX,Medium,FOOT
Dewatto River,2007,2007-03-15,74,5.8,3,2.8,0,SUPP,Medium,FOOT
Dewatto River,2007,2007-02-28,59,5.8,3,2.8,0,SUPP,Medium,FOOT
Dewatto River,2007,2007-03-05,64,3.3,3,0.3,0,SUPP,Medium,FOOT
Duckabush River,2007,2007-02-23,54,6,4.8,1.2,0,INDX,High,FOOT
Duckabush River,2007,2007-04-09,99,3,2.3,0.7,0,PART,Medium,FOOT
Duckabush River,2007,2007-04-26,116,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2007,2007-04-04,94,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2007,2007-05-04,124,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2007,2007-04-18,108,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2007,2007-04-15,105,4.1,4,0.1,0,SUPP,Medium,FOOT
Duckabush River,2007,2007-06-14,165,1.1,0,1.1,0,SUPP,High,FOOT
Duckabush River,2007,2007-06-05,156,4.1,4,0.1,0,SUPP,High,FOOT
Duckabush River,2007,2007-06-11,162,6,4.8,1.2,0,INDX,High,FOOT
Duckabush River,2007,2007-05-15,135,4.1,4,0.1,0,SUPP,High,FOOT
Duckabush River,2007,2007-06-14,165,2.3,1.1,1.2,0,INDX,High,FOOT
Duckabush River,2007,2007-06-13,164,3,2.3,0.7,0,PART,High,FOOT
Duckabush River,2007,2007-05-25,145,6,4.8,1.2,0,INDX,High,FOOT
Duckabush River,2007,2007-05-16,136,4.81,4.8,0.01,0,SPOT,Flooding,FOOT
"Skokomish River, NF",2007,2007-05-10,130,13.3,12.7,0.6,0,INDX,Medium,FOOT
Tahuya River,2007,2007-04-17,107,10,7.5,2.5,0,INDX,Low,FOOT
Union River,2007,2007-04-18,108,4,3,1,0,INDX,Low,FOOT
Little Quilcene River,2007,2007-04-23,113,4.5,4.3,0.2,0,INDX,Medium,FOOT
Union River,2007,2007-04-30,120,1.7,0.3,1.4,0,INDX,Low,FOOT
Tahuya River,2007,2007-04-30,120,1,0.6,0.4,0,INDX,Low,FOOT
"Skokomish River, SF",2007,2007-06-06,157,0.8,0,0.8,0,INDX,Low,RAFT
"Skokomish River, SF",2007,2007-02-23,54,20,13.5,6.5,0,INDX,High,FOOT
"Skokomish River, SF",2007,2007-03-01,60,13.5,10,3.5,0,INDX,High,FOOT
"Skokomish River, SF",2007,2007-03-07,66,23.5,19,4.5,0,INDX,High,FOOT
Browns Creek (SF Skok trib),2007,2007-03-07,66,0.5,0,0.5,0,SUPP,High,FOOT
LeBar Creek (SF Skok trib),2007,2007-03-07,66,0.5,0,0.5,0,SUPP,High,FOOT
Vance Creek (SF Skok trib),2007,2007-03-07,66,1.5,0,1.5,0,SUPP,Medium,FOOT
Vance Creek (SF Skok trib),2007,2007-03-08,67,3,1.5,1.5,0,SUPP,High,FOOT
Cedar Creek (SFSkok trib),2007,2007-03-16,75,0.5,0,0.5,0,SUPP,High,FOOT
"Skokomish River, SF",2007,2007-03-16,75,19,13.5,5.5,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2007,2007-03-18,77,3,1.5,1.5,0,SUPP,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-03-19,78,1.5,0,1.5,0,SUPP,Low,FOOT
Browns Creek (SF Skok trib),2007,2007-03-19,78,5.2,4,1.2,0,SUPP,Medium,FOOT
"Skokomish River, SF",2007,2007-03-21,80,13.5,10,3.5,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2007,2007-03-21,80,3,1.5,1.5,0,SUPP,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-03-21,80,1.5,0,1.5,0,SUPP,Low,FOOT
"Skokomish River, SF",2007,2007-03-22,81,23.5,19,4.5,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2007,2007-03-27,86,3,1.5,1.5,0,SUPP,Medium,FOOT
Church Creek (SF Skok trib),2007,2007-03-28,87,0.5,0,0.5,0,SUPP,Medium,FOOT
Vance Creek (SF Skok trib),2007,2007-03-29,88,1.5,0,1.5,0,SUPP,,FOOT
"Skokomish River, SF",2007,2007-04-03,93,4.5,0.8,3.7,0,INDX,Medium,FOOT
"Skokomish River, SF",2007,2007-04-05,95,19,13.5,5.5,0,INDX,Medium,FOOT
"Skokomish River, SF",2007,2007-04-05,95,23.5,19,4.5,0,INDX,Medium,FOOT
Browns Creek (SF Skok trib),2007,2007-04-06,96,5.2,4,1.2,0,SUPP,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-04-08,98,1.5,0,1.5,0,SUPP,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-04-09,99,3,1.5,1.5,0,SUPP,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-04-18,108,1.5,0,1.5,0,SUPP,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-04-19,109,3,1.5,1.5,0,SUPP,Low,FOOT
Browns Creek (SF Skok trib),2007,2007-04-27,117,0.5,0,0.5,0,SUPP,Medium,FOOT
"Skokomish River, SF",2007,2007-05-08,128,0.8,0,0.8,0,INDX,Medium,FOOT
Church Creek (SF Skok trib),2007,2007-05-09,129,0.5,0,0.5,0,SUPP,Medium,FOOT
Vance Creek (SF Skok trib),2007,2007-05-12,132,1.5,0,1.5,0,SUPP,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-05-12,132,3,1.5,1.5,0,SUPP,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-05-19,139,3,1.5,1.5,0,SUPP,Low,FOOT
Church Creek (SF Skok trib),2007,2007-05-22,142,0.5,0,0.5,0,SUPP,Medium,FOOT
Vance Creek (SF Skok trib),2007,2007-05-25,145,1.5,0,1.5,0,SUPP,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-05-26,146,3,1.5,1.5,0,SUPP,Low,FOOT
Church Creek (SF Skok trib),2007,2007-06-04,155,0.5,0,0.5,0,SUPP,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-06-09,160,3,1.5,1.5,0,SUPP,Low,FOOT
Church Creek (SF Skok trib),2007,2007-06-11,162,0.5,0,0.5,0,SUPP,Low,FOOT
Browns Creek (SF Skok trib),2007,2007-07-02,183,0.5,0,0.5,0,SUPP,Low,FOOT
"Skokomish River, NF",2007,2008-01-18,18,15.6,13.3,2.3,0,SUPP,Low,FOOT
Duckabush River,2007,2008-01-22,22,1.1,0,1.1,0,INDX,Low,FOOT
"Skokomish River, NF",2007,2008-01-18,18,12.7,12.3,0.4,0,SUPP,Low,FOOT
"Skokomish River, NF",2007,2008-01-18,18,13.3,12.7,0.6,0,SUPP,Low,FOOT
Duckabush River,2007,2008-01-22,22,2.3,1.1,1.2,0,INDX,Low,FOOT
Vance Creek (SF Skok trib),2007,2008-01-25,25,2.9,1.7,1.2,0,INDX,Low,FOOT
"Skokomish River, MS",2007,2007-03-28,87,8.01,6.31,1.7,0,INDX,High,HELI
"Skokomish River, NF",2007,2007-03-28,87,9.01,8.01,1,0,INDX,High,HELI
"Skokomish River, MS",2007,2007-03-28,87,6.31,5.31,1,0,INDX,High,HELI
"Skokomish River, MS",2007,2007-04-12,102,6.31,5.31,1,0,INDX,Medium,HELI
"Skokomish River, MS",2007,2007-05-15,135,5.31,2.21,3.1,0,INDX,Low,HELI
"Skokomish River, MS",2007,2007-06-04,155,5.31,2.21,3.1,0,INDX,Low,HELI
Tahuya River,2007,2007-03-15,74,5.01,5,0.01,0,SPOT,High,FOOT
Tahuya River,2007,2007-03-15,74,2.61,2.6,0.01,0,SPOT,High,FOOT
"Skokomish River, MS",2007,2007-03-16,75,5.31,5.3,0.01,0,SPOT,High,FOOT
Duckabush River,2007,2007-03-16,75,2.31,2.3,0.01,0,SPOT,High,FOOT
"Skokomish River, MS",2007,2007-03-26,85,5.31,5.3,0.01,0,SPOT,High,FOOT
"Skokomish River, MS",2007,2007-03-06,65,5.31,5.3,0.01,0,SPOT,High,FOOT
Tahuya River,2007,2007-02-26,57,7.51,7.5,0.01,0,SPOT,High,FOOT
Tahuya River,2007,2007-02-26,57,2.61,2.6,0.01,0,SPOT,High,FOOT
Union River,2007,2007-03-11,70,0.31,0.3,0.01,0,SPOT,High,FOOT
Dewatto River,2007,2007-03-11,70,0.31,0.3,0.01,0,SPOT,High,FOOT
Tahuya River,2007,2007-03-11,70,2.61,2.6,0.01,0,SPOT,High,FOOT
"Skokomish River, MS",2007,2007-03-11,70,5.31,5.3,0.01,0,SPOT,Flooding,FOOT
Union River,2007,2007-03-09,68,3.01,3,0.01,0,SPOT,High,FOOT
Duckabush River,2007,2007-05-31,151,0.01,0,0.01,0,SPOT,High,FOOT
"Skokomish River, MS",2007,2007-03-09,68,5.31,5.3,0.01,0,SPOT,High,FOOT
"Skokomish River, SF",2007,2007-03-11,70,0.81,0.8,0.01,0,SPOT,High,FOOT
Duckabush River,2007,2007-03-12,71,0.11,0.1,0.01,0,SPOT,High,FOOT
Union River,2007,2007-03-13,72,0.31,0.3,0.01,0,SPOT,High,FOOT
Duckabush River,2007,2007-04-09,99,0.11,0.1,0.01,0,SPOT,High,FOOT
"Skokomish River, SF",2007,2007-02-26,57,0.81,0.8,0.01,0,SPOT,High,FOOT
"Skokomish River, MS",2007,2007-02-26,57,5.31,5.3,0.01,0,SPOT,High,FOOT
Duckabush River,2007,2007-05-16,136,2.31,2.3,0.01,0,SPOT,High,FOOT
Duckabush River,2007,2007-05-10,130,2.31,2.3,0.01,0,SPOT,High,FOOT
"Skokomish River, SF",2007,2007-03-28,87,6.81,0.81,6,0,INDX,High,HELI
"Skokomish River, SF",2007,2007-03-28,87,0.81,0.01,0.8,0,INDX,High,HELI
"Skokomish River, SF",2007,2007-03-28,87,13.51,6.81,6.7,0,INDX,High,HELI
"Skokomish River, SF",2007,2007-04-12,102,0.81,0.01,0.8,0,INDX,Medium,HELI
"Skokomish River, SF",2007,2007-04-12,102,6.81,0.81,6,0,INDX,Medium,HELI
"Skokomish River, SF",2007,2007-03-28,87,23.01,13.51,9.5,0,INDX,High,HELI
"Skokomish River, SF",2007,2007-04-12,102,13.51,6.81,6.7,0,INDX,Medium,HELI
"Skokomish River, SF",2007,2007-04-12,102,23.01,13.51,9.5,0,INDX,Medium,HELI
"Skokomish River, SF",2007,2007-04-30,120,23.01,13.51,9.5,0,INDX,Medium,HELI
"Skokomish River, SF",2007,2007-04-30,120,6.81,0.81,6,0,INDX,Medium,HELI
"Skokomish River, SF",2007,2007-04-30,120,0.81,0.01,0.8,0,INDX,Medium,HELI
"Skokomish River, SF",2007,2007-04-30,120,13.51,6.81,6.7,0,INDX,Medium,HELI
"Skokomish River, SF",2007,2007-05-15,135,23.01,13.51,9.5,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-05-15,135,6.81,0.81,6,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-05-15,135,13.51,6.81,6.7,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-05-15,135,0.81,0.01,0.8,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-05-25,145,13.51,6.81,6.7,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-06-04,155,0.81,0.01,0.8,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-06-04,155,13.51,6.81,6.7,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-05-25,145,6.81,0.81,6,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-05-25,145,0.81,0.01,0.8,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-05-25,145,23.01,13.51,9.5,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-06-04,155,23.01,13.51,9.5,0,INDX,Low,HELI
"Skokomish River, SF",2007,2007-06-04,155,6.81,0.81,6,0,INDX,Low,HELI
Snow Creek,2007,2007-04-20,110,0.8,0,0.8,1,INDX,Medium,FOOT
Snow Creek,2007,2007-04-30,120,0.8,0,0.8,1,INDX,Medium,FOOT
Little Quilcene River,2007,2007-03-23,82,5.4,4.3,1.1,1,INDX,Low,FOOT
Little Quilcene River,2007,2007-03-29,88,0.8,0,0.8,1,INDX,Medium,FOOT
Dewatto River,2007,2007-02-22,53,1.8,0.3,1.5,1,INDX,Low,FOOT
Dewatto River,2007,2007-03-05,64,1.8,0.3,1.5,1,INDX,Medium,FOOT
Tahuya River,2007,2007-03-08,67,11,10,1,1,INDX,Low,FOOT
Dewatto River,2007,2007-03-08,67,1.8,0.3,1.5,1,INDX,Medium,FOOT
Tahuya River,2007,2007-03-08,67,1,0.6,0.4,1,INDX,Medium,FOOT
Tahuya River,2007,2007-03-19,78,2.6,1,1.6,1,INDX,Low,FOOT
Dewatto River,2007,2007-03-19,78,3.3,3,0.3,1,SUPP,Low,FOOT
Duckabush River,2007,2007-04-02,92,2.3,1.1,1.2,1,INDX,Medium,FOOT
Union River,2007,2007-04-04,94,3,1.7,1.3,1,INDX,Low,FOOT
Little Quilcene River,2007,2007-04-06,96,4.5,4.3,0.2,1,INDX,Medium,FOOT
Duckabush River,2007,2007-04-12,102,2.3,1.1,1.2,1,INDX,Medium,FOOT
Dewatto River,2007,2007-03-01,60,3,1.8,1.2,1,INDX,Medium,FOOT
Little Quilcene River,2007,2007-04-06,96,3,1.8,1.2,1,INDX,Medium,FOOT
Union River,2007,2007-04-11,101,1.7,0.3,1.4,1,INDX,Low,FOOT
"Skokomish River, MS",2007,2007-04-13,103,9,8,1,1,INDX,Medium,RAFT
"Skokomish River, MS",2007,2007-05-16,136,6.3,5.3,1,1,INDX,Low,RAFT
Snow Creek,2007,2007-04-30,120,0.8,0,0.8,1,INDX,Low,FOOT
Snow Creek,2007,2007-04-20,110,0.8,0,0.8,1,INDX,Low,FOOT
Union River,2007,2007-04-18,108,1.7,0.3,1.4,1,INDX,Low,FOOT
"Skokomish River, NF",2007,2007-06-12,163,14,13.3,0.7,1,INDX,Medium,FOOT
"Skokomish River, MS",2007,2007-05-10,130,9,8,1,1,INDX,Low,RAFT
"Skokomish River, MS",2007,2007-06-01,152,6.3,5.3,1,1,INDX,Low,RAFT
Duckabush River,2007,2007-03-22,81,6,4.8,1.2,1,INDX,High,FOOT
Duckabush River,2007,2007-05-16,136,3,2.3,0.7,1,PART,Flooding,FOOT
Duckabush River,2007,2007-05-04,124,4.1,4,0.1,1,SUPP,Medium,FOOT
"Skokomish River, NF",2007,2007-03-23,82,13.3,12.7,0.6,1,INDX,High,FOOT
"Skokomish River, NF",2007,2007-03-23,82,14,13.3,0.7,1,INDX,High,FOOT
Duckabush River,2007,2007-04-12,102,2.6,2.3,0.3,1,INDX,Medium,FOOT
Little Quilcene River,2007,2007-04-23,113,0.8,0,0.8,1,INDX,Medium,FOOT
"Skokomish River, SF",2007,2007-04-04,94,13.5,10,3.5,1,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2007,2007-04-19,109,0.25,0,0.25,1,SUPP,Low,FOOT
"Skokomish River, SF",2007,2007-04-27,117,0.8,0,0.8,1,INDX,High,FOOT
"Skokomish River, SF",2007,2007-05-01,121,23.5,19,4.5,1,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2007,2007-05-09,129,1.5,0,1.5,1,SUPP,Low,FOOT
"Skokomish River, SF",2007,2007-05-14,134,13.5,10,3.5,1,INDX,Medium,FOOT
"Skokomish River, SF",2007,2007-05-23,143,23.5,19,4.5,1,INDX,Low,FOOT
"Skokomish River, SF",2007,2007-05-24,144,19.5,19,0.5,1,INDX,Low,FOOT
"Skokomish River, SF",2007,2007-05-27,147,1.5,1,0.5,1,INDX,Low,FOOT
Vance Creek (SF Skok trib),2007,2007-05-28,148,0.25,0,0.25,1,SUPP,Low,FOOT
"Skokomish River, SF",2007,2007-05-29,149,0.4,0,0.4,1,INDX,Low,FOOT
"Skokomish River, SF",2007,2007-06-03,154,12.5,12,0.5,1,INDX,Low,FOOT
"Skokomish River, SF",2007,2007-06-07,158,19,18,1,1,INDX,Low,FOOT
"Skokomish River, NF",2007,2007-04-12,102,9.01,8.01,1,1,INDX,Medium,HELI
"Skokomish River, MS",2007,2007-04-30,120,6.31,5.31,1,1,INDX,Medium,HELI
"Skokomish River, NF",2007,2007-05-15,135,9.01,8.01,1,1,INDX,Low,HELI
"Skokomish River, NF",2007,2007-06-04,155,9.01,8.01,1,1,INDX,Low,HELI
"Skokomish River, NF",2007,2007-05-25,145,9.01,8.01,1,1,INDX,Low,HELI
"Skokomish River, MS",2007,2007-06-04,155,6.31,5.31,1,1,INDX,Low,HELI
"Skokomish River, MS",2007,2007-05-25,145,6.31,5.31,1,1,INDX,Low,HELI
Snow Creek,2007,2007-03-05,64,0.8,0,0.8,2,INDX,Medium,FOOT
Snow Creek,2007,2007-04-12,102,0.8,0,0.8,2,INDX,Medium,FOOT
Tahuya River,2007,2007-03-27,86,1,0.6,0.4,2,INDX,Low,FOOT
Dewatto River,2007,2007-03-22,81,1.8,0.3,1.5,2,INDX,Low,FOOT
Little Quilcene River,2007,2007-03-23,82,3,1.8,1.2,2,INDX,Medium,FOOT
Dewatto River,2007,2007-03-29,88,3,1.8,1.2,2,INDX,Low,FOOT
Tahuya River,2007,2007-04-02,92,2.6,1,1.6,2,INDX,Low,FOOT
Tahuya River,2007,2007-04-02,92,1,0.6,0.4,2,INDX,Low,FOOT
Tahuya River,2007,2007-04-10,100,1,0.6,0.4,2,INDX,Low,FOOT
